North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Peshawar_1_1_W,P-P Link,Peshawar,PSH0319,33.97515,71.56509,M2B-ISB-MSC5-HRT-01,GigabitEthernet2/0/0,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/0,10 G,1,1,10G,Working,Islamabad-Taxilla-Kamra-Nowshera-Mardan-Charsada-Peshawar 
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_LahoreA_1_1_W,P-P Link,Lahore,LHR8994,31.456142,74.326006,M2B-ISB-MSC5-HRT-01,100GE13/0/2,M2B-LHR-FRF-HRT-01,100GE8/0/0,100 G,4,4,100G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhupura-FRF
P: Islamabad-GujarKhan-Jehlum-Gujrat-Silakot-Gujranwala-Mureedkay-FRF"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_LahoreA_1_1_P,P-P Link,Lahore,LHR8994,31.456142,74.326006,M2B-ISB-MSC5-HRT-01,100GE13/0/2,M2B-LHR-FRF-HRT-01,100GE8/0/0,100 G,4,4,100G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhupura-FRF
P: Islamabad-GujarKhan-Jehlum-Gujrat-Silakot-Gujranwala-Mureedkay-FRF"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_1_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/1,M2B-FSD-ZT2-HRT-01,GigabitEthernet15/0/10,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_2_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/2  ,M2B-FSD-ZT2-HRT-01,GigabitEthernet9/0/10,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_Faisalabad_1_3_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/2,M2B-FSD-ZT2-HRT-01,GigabitEthernet8/0/1,30 G,2,2,10G,Working,Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Faisalabad
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/3,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/3,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_1_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/0/3,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/3,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_2_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/4,M2B-KHI-BRQ2-HRT-01,GigabitEthernet8/0/2,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_2_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet5/1/4,M2B-KHI-BRQ2-HRT-01,GigabitEthernet8/0/2,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_3_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/6,M2B-KHI-BRQ2-HRT-01,GigabitEthernet4/0/0,30 G,3,3,10G,Working,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Islamabad,ISB0362,33.65353,73.04432,IslamabadA_KarachiA_1_3_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-ISB-MSC5-HRT-01,GigabitEthernet4/0/6,M2B-KHI-BRQ2-HRT-01,GigabitEthernet4/0/0,30 G,3,3,10G,Protection,"W: Islamabad-VSAT-Balkasar-Salem-PindBhattian-Faisalabad-TobaTek Singh-Khanewal-Warid MSC-Multan- Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-BERQ
P: Islamabad-GujarKhan-Jehlum-Kharian-Gujrat-Wazirabad-Sialkot-Gujranwala-Muridkey-FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-Berq-Asia-Anum-BERQ"
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_1_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/1,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_2_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet 4/0/10,150 G,4,4,10G,Working,"P: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Warid MSC-Khanwal- Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
W: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC "
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_2_P,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/1,M2B-LHR-MCH-HRT-01,GigabitEthernet 4/0/10,150 G,4,4,10G,Protection,"P: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Warid MSC-Khanwal- Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
W: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC "
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Gujranwala_1_3_W,P-PE Link,Gujranwala,GUJ3302,32.2052,74.1749,M2B-LHR-FRF-HRT-01,GigabitEthernet2/0/4,M2B-GJW-MGW-HRT-01,GigabitEthernet6/0/1,130G,32,,10G,Working,FRF-Gujranwala
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_3_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,GigabitEthernet6/0/4,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/0,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_4_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,Gig4/0/4,M2B-LHR-MCH-HRT-01,Gig3/0/3,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_1_5_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,Gig5/0/4,M2B-LHR-MCH-HRT-01,Gig3/0/10,150 G,4,4,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-VSAT-Balkasar-Salem-PindiBhattian-Sheikhpura-FRF-MC 
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_3_2_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,100GE7/0/1,M2B-LHR-MCH-HRT-01,100GE7/0/0,150 G,4,4,100G,Working,"W: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Bhawalpur-Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
P: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-GujjarKhan-Jhelum-Kharian-Gujrat-Sialkot-Gujranwala-Muridkey-FRF-MC"
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_LahoreB_3_2_P,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-PSH-MGW-HRT-01,100GE7/0/1,M2B-LHR-MCH-HRT-01,100GE7/0/0,150 G,4,4,100G,Protection,"W: Pehsawar-Kohat-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan-Bhawalpur-Hasilpur-Bhawalnagar-Sahiwal-Okara-Pattoki-MC
P: Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-GujjarKhan-Jhelum-Kharian-Gujrat-Sialkot-Gujranwala-Muridkey-FRF-MC"
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_Multan_1_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/2,M2B-MLT-REX-HRT-01,GigabitEthernet2/0/2,20 G,2,2,10G,Working,Pehsawar-Charsada-Mardan-Nowshera-Kamra-Taxila- Islamabad-GujjarKhan-Jhelum-Kharian-Gujrat-Sialkot-Gujranwala-Muridkey-FRF-MC-Okara-Pattoki-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Multan
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_Multan_2_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-PSH-MGW-HRT-01,GigabitEthernet5/0/5,M2B-MLT-REX-HRT-01,GigabitEthernet7/0/1,20 G,2,2,10G,Working,Pehsawar-Kohat-Karak-Gandi Chowk-DI Khan-Bhakkar-Layyah-KotAddu-Muzafargarh-Multan
North,Peshawar,PSH0319,33.97515,71.56509,Peshawar_KarachiB_1_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-PSH-MGW-HRT-01,GigabitEthernet2/0/3,M2B-KHI-BRQ1-HRT-01,GigabitEthernet2/0/3,10 G,3,3,10G,Working,Peshawar-Kohat-GandiChowk-DI Khan-Bhakkar-Thal-Jhang-Faisalabad-TobaTek Singh-Shorkot-Khanewal-Multan-Muzafargarh-DG Khan-Jampur-Rajanpur-Kashomre-Ghouspur-Shikarpur-Larkana-Mehar-Dadu-Sehwan-Kalari-Jamshoro-Nooriabad-Asia-Berq
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_LahoreB_1_1_W,P-P Link,Lahore,RUR3054,31.3968,74.2335,M2B-LHR-FRF-HRT-01,GigabitEthernet6/0/4 ,M2B-LHR-MCH-HRT-01,GigabitEthernet4/0/5,10 G,1,1,10G,Working,MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Khanewal-Tobatek Singh-Faisalabad-PindiBhattian-Sheikhupura-FRF
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Faisalabad_1_1_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-LHR-FRF-HRT-01,100GE14/0/0,M2B-FSD-ZT2-HRT-01,50|100GE11/0/2,200G,3,3,100G,Working,"W: FRF-Sheikhupura-PindiBhattian-Faisalabad
P: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Shorkot--TobaTek Singh-Faisalabad"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Faisalabad_1_1_P,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-LHR-FRF-HRT-01,100GE14/0/0,M2B-FSD-ZT2-HRT-01,50|100GE11/0/2,200G,3,3,100G,Protection,"W: FRF-Sheikhupura-PindiBhattian-Faisalabad
P: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Shorkot--TobaTek Singh-Faisalabad"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Faisalabad_2_1_W,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-LHR-FRF-HRT-01,100GE10/1/0,M2B-FSD-ZT2-HRT-01,50|100GE7/0/2,200G,3,3,100G,Working,"W: FRF-Muridkey-Gujranwala-Hafizabad-PindiBhattain-Sargodha-Chiniot-Faisalabad
P: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Shorkot--TobaTek Singh-Faisalabad"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_Faisalabad_2_1_P,P-P Link,Faisalabad,FSD3561,31.43824,73.13995,M2B-LHR-FRF-HRT-01,100GE10/1/0,M2B-FSD-ZT2-HRT-01,50|100GE7/0/2,200G,3,3,100G,Protection,"W: FRF-Muridkey-Gujranwala-Hafizabad-PindiBhattain-Sargodha-Chiniot-Faisalabad
P: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Shorkot--TobaTek Singh-Faisalabad"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01,GigabitEthernet2/0/2,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/2,30 G,2,2,10G,Working,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_1_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01,GigabitEthernet2/0/2,M2B-KHI-BRQ2-HRT-01,GigabitEthernet2/0/2,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_2_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/4,M2B-KHI-BRQ2-HRT-01,Gig4/0/2,30 G,2,2,10G,Working,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_2_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/4,M2B-KHI-BRQ2-HRT-01,Gig4/0/2,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center B,Multan,MSC0001,30.1907,71.4506,Multan_KarachiB_3_1_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-MLT-REX-HRT-01,GigabitEthernet2/0/4,M2B-KHI-BRQ1-HRT-01,GigabitEthernet2/0/4,160 G,4,4,10G,Working,Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-Berq
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_3_W,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/6,M2B-KHI-BRQ2-HRT-01, Gig4/0/5,30 G,2,2,10G,Working,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,LHR8994,31.456142,74.326006,LahoreA_KarachiA_1_3_P,P-P Link,Karachi,KHI0033,24.83763889,67.11222222,M2B-LHR-FRF-HRT-01, Gig16/0/6,M2B-KHI-BRQ2-HRT-01, Gig4/0/5,30 G,2,2,10G,Protection,"W: FRF-MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Ahmadpur-Khanpur-RahimYar Khan-Sadiqabad-Ghotki-Sukkur-Khairpur-Ranipur-Moro-Nawabshah-Hala-Hyderabad-Jharrak-Thatta-MDKA2437-BERQ-Asia-Berq
P: FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan-Muzafargarh-DG Khan-Rajanpur-Kashomre-Shikarpur-Larkana-Mehar-Dadu-Kalari-Jamshoro-Nooriabad-Asia-Anum-BERQ"
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet2/0/3,M2B-MLT-REX-HRT-01,GigabitEthernet2/0/3,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Arifwala-Bhawalnagar-Hasilpur-Bhawalpur-Lodhran-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_2_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet6/0/1,M2B-MLT-REX-HRT-01,GigabitEthernet7/0/4,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Arifwala-Bhawalnagar-Hasilpur-Bhawalpur-Lodhran-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_2_1_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,GigabitEthernet6/0/3,M2B-MLT-REX-HRT-01,GigabitEthernet5/0/1,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Vehari-Chichawatni-Khanewal-Warid MSC-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_3_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,Gig4/0/4,M2B-MLT-REX-HRT-01,Gig4/0/7,240 G,3,3,10G,Working,MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Multan
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_4_W,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,100GE7/0/1,M2B-MLT-REX-HRT-01,100GE9/0/1,240 G,3,3,100G,Working,"W: MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Multan
P: MC-FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan"
Center A,Lahore,RUR3054,31.3968,74.2335,LahoreB_Multan_1_4_P,P-P Link,Multan,MSC0001,30.1907,71.4506,M2B-LHR-MCH-HRT-01,100GE7/0/1,M2B-MLT-REX-HRT-01,100GE9/0/1,240 G,3,3,100G,Protection,"W: MC-Pattoki-Okara-Sahiwal-Bhawalnagar-Hasilpur-Bhawalpur-Multan
P: MC-FRF-Sheikhupura-PindiBhattian-Faisalabad-TobaTek Singh-Khanewal-Multan"
